,label,text
54,spam,sms ac Sptv the New Jersey Devils Detroit Red Wings play Ice Hockey Correct Incorrect End Reply END SPTV
55,ham,do know Mallika Sherawat yesterday find lturlgt
56,spam,congrat year special cinema pass call C suprman v Matrix StarWars etc free bxipwe pm do not miss
57,ham,Sorry Ill call later meeting
58,ham,tell reach
59,ham,Yesgauti sehwag odi series
60,ham,your go to pick burger way home I can not even move Pain kill
61,ham,ha ha ha good joke Girls situation seeker
62,ham,its part check iq
63,ham,sorry roommate take forever ok I come
64,ham,ok lar double check wif da hair dresser already say wun cut v short he say cut look nice
65,spam,as value customer I please advise follow recent review Mob no award å£ Bonus Prize call
66,ham,today song dedicate day which song u dedicate Send ur valuable frnd first rply
67,spam,Urgent UR award complimentary trip EuroDisinc Trav AcoEntry or å£ to claim txt DIS å£ morefrmmob shracomorsglsuplt LS AJ
68,spam,do hear new Divorce Barbie it come Kens stuff
69,ham,I plane give month end
70,ham,wah lucky man then save money Hee
71,ham,finished class
72,ham,hi babe IM AT HOME NOW WANNA DO something XX
73,ham,kkwhere youhow perform
74,ham,u call
75,ham,I wait machan Call free
76,ham,that s cool gentleman treat dignity respect
77,ham,I like people much shy pa
78,ham,do not operate ltgt
79,ham,its not still look job how much Tas earn
80,ham,Sorry Ill call later
81,ham,K do call ah
82,ham,ok way home hi hi
83,ham,you place man
84,ham,yup next stop
85,ham,I call later do not network if urgnt sm
86,ham,for real u get yo I need ticket one jacket I m do I already use multis
87,ham,yes I start send request make pain come back I m back bed double coin factory I get to cash nitro
88,ham,I m really not still tonight babe
89,ham,Ela kanoil download come wen ur free
90,ham,yeah DonÛ÷t stand close tho youû÷ll catch something
91,ham,sorry pain be ok meet another night I spend late afternoon casualty mean have not do stuffmoro include time sheet Sorry
92,ham,Smile Pleasure Smile Pain Smile trouble pour like Rain smile sum hurt U Smile becoz someone still loves see u smile
93,spam,please call customer service representative ampm WON guarantee å£ cash å£ prize
94,ham,have not plan buy later I check already lido get show e afternoon U finish work already
95,spam,your free ringtone waiting collect simply text password MIX verify Get Usher Britney FML
96,ham,watch telugu moviewat abt u
97,ham,see when finish load loan pay
98,ham,hi wk ok hol yes bit run Forgot hairdresser appointment four need get home n shower beforehand do cause prob u ham
99,ham,please do not text anymore I nothing else say
100,ham,okay name ur price long legal Wen I pick Y u ave x ams xx
101,ham,I m still look car buy and not go the driving test yet
102,ham,as per request Melle Melle Oru Minnaminunginte Nurungu Vettam set callertune Callers Press copy friend Callertune
103,ham,wow you re right I do not mean I guess give boston man change search location nyc something change cuz signin page still say boston
104,ham,Umma life vava umma love lot dear
105,ham,thank lot wish birthday thank make birthday truly memorable
106,ham,Aight Ill hit I get cash
107,ham,how would ip address test consider computer be not minecraft server
108,ham,I know Grumpy old people my mom like well not lie then I always one play joke
109,ham,do not worry I guess he s busy
110,ham,what plural noun research
111,ham,go dinnermsg
112,ham,I m ok wif cos like try new thing but scared u dun like mah cos u say not loud
113,spam,gent we try contact last weekend draw show å£ prize GUARANTEED Call Claim Code K Valid hrs ppm
114,ham,wa ur openin sentence formal anyway I m fine juz tt I m eatin much n puttin weightHaha so anythin special happen
115,ham,as I enter cabin PA say Happy Bday Boss I feel special she askd lunch after lunch invite apartment we go
116,spam,you winner U specially select receive å£ holiday flights inc speak live operator claim pmin
117,ham,Goodo yes must speak friday eggpotato ratio tortilla need
118,ham,hmmmy uncle inform he s pay school directly so pls buy food
119,spam,PRIVATE your Account Statement show unredeemed Bonus Points to claim call Identifier Code expire
120,spam,URGENT your Mobile No award å£ Bonus Caller Prize this final try contact u Call Landline BOXWRC PPM
121,ham,new address applespairsall malarky
122,spam,today Voda number end select receive award if match please call quote claim code standard rate app
123,ham,I go sao mu today will do
124,ham,ÌÏ predict wat time Ìll finish buy
125,ham,good stuff
126,ham,just knowyetunde have not send money yet I send text not bother send so do not involve anything I should not impose anything first place apologise
127,ham,be room
128,ham,HEY GIRL how r u hope u r well ME an DEL R BAK again long time no c give I a call sum TIME from LUCYxx
129,ham,kkhow much cost
130,ham,I m home
131,ham,dear call Tmorrowpls accomodate
132,ham,first answer question
133,spam,Sunshine Quiz Wkly Q win top Sony dvd player u know country Algarve Txt ansr å£ sptyrone
134,spam,want get lay tonight want real dogging location send direct ur mob Join uks large Dogging Network bt Txting GRAVEL Nt eca pmsgp
135,ham,I haf msn its yijuehotmailcom
136,ham,he you call meet
137,ham,no no I check room befor activity
138,spam,you ll not rcv msgs chat svc for FREE Hardcore service text GO if u get nothing u must Age Verify yr network try
139,ham,get c I lazy type I forget Ì lect I see pouch like not v nice
140,ham,k text you re way
141,ham,Sir Waiting mail
142,ham,a swt think Nver get tired little thing lovable person Cozsomtimes little thing occupy big part Hearts Gud ni
143,ham,I know can pls open back
144,ham,yes see ya not dot
145,ham,what s staff name take class we
146,spam,FreeMsg why have not reply text I m Randy sexy female live local Luv hear u Netcollex Ltd p per msg reply stop end
147,ham,ummmawill call check inour life begin qatar pls pray hard
148,ham,Ki delete contact
149,ham,sindu get job birla soft
150,ham,the wine flow I m nevere
151,ham,yup thk cine well cos no need go plaza mah
152,ham,ok ur typical reply
153,ham,as per request Melle Melle Oru Minnaminunginte Nurungu Vettam set callertune Callers Press copy friend Callertune
154,ham,you everywhere dirt floor window even shirt and sometimes open mouth come flow I dream world without half chore a time joy lot tv show ill see but guess like thing must exist like rain hail mist time do become one
155,ham,aaooooright work
156,ham,I m leave house
157,ham,hello love what do get interview today be happy be good boy do think meAre miss
158,spam,customer service annoncement you New Years delivery wait please call arrange delivery
159,spam,you winner U specially select receive å£ cash holiday flights inc speak live operator claim
160,ham,keep safe I need I miss already I envy everyone see real life
161,ham,new car house parentsi new job hand
162,ham,I m love I m excited day spend you make happy
163,spam,PLS STOP bootydelious F inviting friend Reply yes no see wwwsmsacubootydelious stop send stop FRND
164,spam,BangBabes Ur order way U should receive Service Msg download UR content if U not GoTo wap bangb tv UR mobile internetservice menu
165,ham,I place ur point e culture module already
166,spam,URGENT we try contact last weekend draw show å£ prize GUARANTEED Call Claim code S Valid hrs
167,ham,hi frnd good way avoid missunderstde wit beloved one
168,ham,great escape I fancy bridge need lager see tomo
169,ham,yes completely formclark also utter waste
170,ham,Sir I need AXIS BANK account no bank address
171,ham,Hmmm Thk sure get time hop ard ya go free abt Muz call u discuss liao
172,ham,what time come later
173,ham,bloody hell can not believe forgot surname Mr Ill give u clue spanish begin
174,ham,well I m go to finish bath have goodfine night
175,ham,let know you ve get money carlos make call
176,ham,u still go mall
177,ham,turn friend stay whole show will not back til ltgt feel free go ahead smoke ltgt worth
178,ham,text if do not reply let know log
179,ham,hi you speak maneesha v we d like know satisfied experience Reply Toll free yes no
180,ham,you lift hope offer money I need especially end month approach hurt study anyways gr weekend
181,ham,lol no U trust
182,ham,ok I gentleman treat dignity respect
183,ham,he guy close
184,ham,go nothing greatbye
185,ham,hello handsome be find job not lazy Working towards get back net mummy where s boytoy do miss
186,ham,haha awesome minute
187,spam,please call customer service representative FREEPHONE ampm WON guarantee å£ cash å£ prize
188,ham,have get Xmas radio time if not get
189,ham,I ju reach home I go bathe first but sis use net tell u finish k
190,spam,be unique enough find th August wwwareyouuniquecouk
191,ham,I m sorry I ve join league people do not keep touch you mean great deal you friend time even great personal cost do great week
192,ham,hi finally complete course
193,ham,it stop I however suggest stay someone able give or every stool
194,ham,how hope you ve settle new school year just wishin gr day
195,ham,Gud mrng dear hav nice day
196,ham,do u get person story
197,ham,hamster dead hey tmr meet pm orchard mrt
198,ham,hi Kate evening I hope see tomorrow bit bloody babyjontet txt back u xxx
199,ham,Found ENC ltgt
200,ham,I send ltgt buck
201,ham,hello darlin I ve finish college txt u finish u love Kate xxx
202,ham,your account refill successfully INR ltdecimalgt your KeralaCircle prepay account balance r ltdecimalgt your Transaction ID KR ltgt
203,ham,Goodmorning sleep ga
204,ham,U call alter ok
205,ham,ÌÏ say like dat dun buy ericsson oso can not oredi lar
206,ham,as I enter cabin PA say Happy Bday Boss I feel special she askd lunch after lunch invite apartment we go
207,ham,aight yo dat straight dogg
208,ham,you please give we connection today ltDECIMALgt refund bill
209,ham,both shoot big load get ready
210,ham,what s bruv hope great break do rewarding semester
211,ham,home always chat
212,ham,Kkgoodstudy well
213,ham,yup how Ì noe leh
214,ham,sound great be home
215,ham,finally match head towards draw prediction
216,ham,tired I have not sleep well past night
217,ham,easy ahsen got select mean good
218,ham,I take exam march
219,ham,yeah I think use gt atm register not sure there s anyway help let know but sure ready
220,ham,ok no prob take ur time
221,ham,there os call ubandu run without instal hard diskyou use os copy important file system give repair shop
222,ham,Sorry Ill call later
223,ham,U say leh of course nothing happen lar not say v romantic ju bit lor I thk e nite scenery not nice leh
224,spam,New Mobiles must go Txt NOKIA no collect todayfrom only å£ wwwtcbiz optout gbpmtmsg
225,ham,would really appreciate call just need someone talk
226,spam,will u meet ur dream partner soon be ur career flyng start find free txt HORO follow ur star sign e g HORO arie
227,ham,hey company elama po mudyadhu
228,ham,life strict teacher Bcoz teacher teach lesson amp conduct exam but life first conduct exam amp teach Lessons Happy morning
229,ham,dear good morning
230,ham,get gandhipuram walk cross cut road right side ltgt street road turn first right
231,ham,dear go rubber place
232,ham,sorry battery die yeah I m
233,ham,Yeshere tv always available work place
234,spam,text meet someone sexy today U find date even flirt U Join p reply name AGE eg Sam msg recdthirtyeight penny
235,ham,I print oh so ltgt come upstairs
236,ham,or ill little close like bus stop street
237,ham,where youwhen wil reach
238,ham,new Theory Argument win SITUATION lose person so do not argue ur friend kick amp say I m always correct
239,spam,u secret admirer look make contact Ufind Rreveal think UR specialcall
240,ham,Tomarrow final hearing laptop case can not
241,ham,PLEASSSSSSSEEEEEE TEL me v AVENT do SPORTSx
242,ham,okay no no shine that mean sign sound well
243,ham,although tell u dat I m baig face watch really like e watch u give cos fr u Thanx everything dat uve do today I m touch
244,ham,u do not remember old commercial
245,ham,too late I say website I do not do not slipper
246,ham,I ask call ok
247,ham,kalli will not bat nd innings
248,ham,it do not work oh ok goodnight Ill fix ready time wake you dearly miss good night sleep
249,spam,congratulation ur award cd voucher gift guarantee free entry wkly draw txt MUSIC TnCs wwwldewcomwinppmxage
250,ham,ranjith cal drpd Deeraj deepak min hold
251,ham,Wen ur lovable bcum angry wid u dnt take seriously Coz angry childish n true way show deep affection care n luv kettoda manda have nice day da
252,ham,what doinghow
253,ham,Ups day also ship company take wks the way usps take week get lag may bribe nipost get stuff
254,ham,I m back lemme know you re ready
255,ham,do not necessarily expect do get back though I m headin
256,ham,mmm yummy babe Nice jolt suzy
257,ham,where lover I need
258,spam,we try contact reply offer Video Handset anytime network min UNLIMITED TEXT Camcorder Reply call now
259,ham,iû÷m park next MINI when come today think
260,ham,yup
261,ham,anyway I m go shop cos sis not do yet Dun disturb u liao
262,ham,my no in LUTON ring I if UR around h
263,spam,hey I really horny want chat see naked text hot text charge pm unsubscribe text stop
264,ham,why dint come we
265,ham,same Wana plan trip sometme
266,ham,not sure yet still try get hold
267,spam,ur ringtone service change free credit Go clubmobilescom choose content Stop txt CLUB stop pwk Club PO Box MK WT
268,ham,the evo I download flash Jealous
269,spam,Ringtone Club get UK single chart mobile week choose top quality ringtone this message free charge
270,ham,come mu sort narcotic situation
271,ham,night end another day morning come special way may smile like sunny ray leave worry blue blue bay
272,spam,HMV BONUS special pound genuine HMV voucher just answer easy question play now send HMV More infowwwpercentrealcom
273,ham,Usf I guess might well take car
274,ham,no objection my bf not come
275,ham,thanx
276,ham,tell rob mack gf theater
277,ham,Awesome Ill see bit
278,ham,just send so type food like
279,ham,all do all hand Celebrations full swing yet
280,ham,you got call tool
281,ham,Wen u miss someone
282,ham,ok I ask money far
283,ham,okie
284,ham,yeah I think usual guy still pass last night get ahold anybody let know Ill throw
285,ham,k I might come tonight class let early
286,ham,ok
287,ham,hi baby I m cruisin girl friend r u give call hour home that s alright fone fone love jenny xxx
288,ham,my life mean lot not I love life but I love people life the world call friend I call World Ge
289,ham,dearshall mail tonitebusy streetshall update tonitething look okvarunnathu edukkukayee raksha ollubut good one real sense
290,ham,hey tell name gautham ah
291,ham,Haf u find I feel stupid da v cam work
292,ham,oop get bit
293,ham,be much buzy
294,ham,I accidentally delete message Resend please
295,spam,tmobile customer may claim free CAMERA phone upgrade pay go sim card loyalty Call Offer end thfebtcs apply
296,ham,unless situation you go GURL would appropriate
297,ham,Hurt Tease make cry but end life die plz keep one rose grave say STUPID I miss u have a nice day bslvyl
298,ham,I can not pick phone right pls send message
299,ham,need coffee run tomoCant believe time week already
300,ham,Awesome I remember last time get somebody high first time diesel v
301,ham,shit really shocking scary can not imagine second Def night do u think somewhere could crash night save taxi
302,ham,oh way food fridge want go meal tonight
303,ham,he womdarfull actor
304,spam,sms ac Blind Date U rodd m Aberdeen United Kingdom check he httpimg sm acwicmbcktzr no blind Dates send hide
305,ham,yup from remb I think book
306,ham,Jos ask u wana meet
307,ham,lol yes our friendship hang thread cause u will not buy stuff
308,spam,themob check new selection content Games Tones Gossip babe sport keep mobile fit funky text WAP
309,ham,where garage key they be not bookshelf
310,ham,today accept DAYU Accept Brother Sister Lover Dear Best Clos Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd no rply mean enemy
311,spam,think ur smart Win å£ week weekly quiz text play nowtcs WinnersClub po BOX M UZ GBPweek
312,ham,he say hell give call friend get money he s definitely buy end week
313,ham,hi way I u day normal waythis real UR uniqueI hope I know u rest mylife Hope u find wot lose
314,ham,you make day do great day
315,ham,kkadvance happy pongal
316,ham,Hmmm Guess go kb n power yoga Haha dunno tahan power yoga anot Thk get lo oso forgot liao
317,ham,not really dude no friend I m afraid
318,spam,December have mobile mth you entitle update late colour camera mobile free Call the Mobile Update Co FREE
319,ham,coffee cake guess
320,ham,Merry Christmas babe love ya kiss
321,ham,hey why do not go watch x man lunch Haha
322,ham,cud u tell ppl I m gona b bit l cos bus hav gon past cos full I m still waitin Pete x
323,ham,that would great well Guild could meet Bristol road somewhere get touch weekend our plan take flight have good week
324,ham,no problem how
325,ham,no callsmessagesmisse call
326,ham,hi dahow today class
327,ham,I d say that s good sign well know track record reading woman
328,ham,cool text you re park
329,ham,I m read text send its meant joke so read light
330,ham,Kkapo kgood movie
331,ham,maybe could get book tomo return immediately or something
332,spam,call Germany penny per minute Call fix line via access number no prepayment direct access
333,ham,any chance might evaporate soon violate privacy steal phone number employer paperwork not cool please not contact I report supervisor
334,spam,valentine Day Special Win å£ quiz take partner trip lifetime Send GO pmsg rcvd CustCare
335,ham,tadaaaaa I home babe still
336,ham,Cool so come have not wine dine
337,ham,just sleepingand surfing
338,ham,Sorry Ill call later
339,ham,u call right call hand phone
340,ham,ok that s great thanx lot
341,ham,I take post come you must s texts happy read my one wiv hello caroline end favourite Bless
342,ham,where u hiding stranger
343,ham,be not interested like
344,ham,my sister clear two round birla soft yesterday
345,ham,gudnitetcpractice go
346,ham,dis yijue I ju see ur mail in case huime have not send u num Dis num
347,ham,one small prestige problem
348,spam,fancy shag I dointereste sextextukcom txt xxuk SUZY Txts cost per msg TnCs website x
349,ham,just check really miss see Jeremiah do great month
350,ham,Nah can not help I ve never iphone
351,ham,if you re not car hour half I m go apeshit
352,ham,today sorry day if ever angry ever misbehave hurt plz plz just slap URSELF Bcoz its ur fault I m basically good
353,ham,yo guy ever figure much need alcohol Jay I try figure much safely spend weed
354,ham,ltgt ISH minute be minute AGO WTF
355,ham,thank you callingforgot say Happy Onam SirjiI fine remember meet insurance personmeet you Qatar Insha AllahRakhesh ex Tata AIG join TISSCOTayseer
356,spam,congratulation ur award cd voucher gift guarantee free entry wkly draw txt MUSIC TnCs wwwldewcomwinppmxage
357,spam,ur cashbalance currently pound maximize ur cashin send cash pmsg cc HGSuiteLands rowwjhl
358,ham,I m actor when work work evening sleep late since I m unemployed moment always sleep late when you re unemployed every day saturday
359,ham,hello just get st andrewsboy long way its cold I keep post
360,ham,ha ha cool cool chikku chikkudb
361,ham,oh ok no prob
362,ham,check audreys status right
363,ham,busy try finish new year I look forward finally meet
364,ham,good afternoon sunshine how dawn day be refresh happy alive do breathe air smile I think love as always
365,ham,well know Z take care so no worry
366,spam,UpdateNow Xmas Offer Latest Motorola SonyEricsson Nokia FREE Bluetooth Double Mins Txt Orange Call MobileUpd calloptoutfq
367,spam,here discount code RP to stop message reply stop wwwregalportfoliocouk Customer Services
368,ham,Wat uniform in get
369,ham,cool text you re ready
370,ham,hello boytoy Geeee I miss already I wake I wish bed cuddle I love
371,ham,I spoil bed well
372,ham,I m go bath msg next ltgt min
373,ham,I can not keep talk people not sure pay agree price so pls tell want really buy much willing pay
374,spam,thank Ringtone Order Reference t you charge GBP per week you unsubscribe anytime call customer service
375,ham,can say happen
376,ham,you could see mei didt recognise Face
377,ham,well there s not lot thing happen Lindsay New year sigh some bar Ptbo blue heron something go
378,ham,keep payasam rinu bring
379,ham,I teach Ranjith sir call so sm like Becaus he s verify project Prabu tell today pa do not mistake
380,ham,I guess that s worried you must know there s way body repair and I m quite sure should not worry well take slow first test guide ovulation relax nothing you ve say reason worry ill keep followin
381,ham,yeah sure give couple minute track wallet
382,ham,hey leave not big deal take care
383,ham,hey late ah meet
384,spam,double min txts month free Bluetooth Orange Available Sony Nokia Motorola phone Call MobileUpd calloptoutndx
385,ham,it take Mr owl lick
386,ham,customer place call
387,ham,mm time do not like fun
388,spam,mth half price Orange line rental late camera phone free have phone mth Call MobilesDirect free update orstoptxt
389,ham,yup lunch buffet U eat already
390,ham,huh late Fr dinner
391,ham,hey sat go intro pilate or kickboxe
392,ham,morning ok
393,ham,yes think I office lap room think that s last day I do not shut
394,ham,pick bout ish what time go
395,ham,from the performance award calculate every two monthnot current one month period
396,ham,be actually sleep still might u call back so text gr you rock sis will send u text wen wake
397,ham,you always put business you put picture ass facebook you one open people I ve ever meet why would think picture room would hurt make feel violate
398,ham,good evening Sir Al Salam wahleykkumshare happy newsBy grace God got offer tayseertissco joinedhope fineinshah Allahmeet sometimerakheshvisitor India
399,ham,hmmmkbut want change field quickly dai wanna get system administrator network administrator
400,spam,free RINGTONE text first poly text get true tone help st free tone xå£ pw eå£ nd txt stop
401,ham,dear chechi do talk
402,ham,the hair cream not ship
403,ham,none that s happen til get though
404,ham,yep great loxahatchee xmas tree burn ltgt start hour
405,ham,haha get use drive usf man I know lot stoner
406,ham,all well slightly disastrous class pm fav darling Hope day ok Coffee wld good can not stay late tomorrow same time place always
407,ham,hello good week Fancy drink something later
408,ham,Headin towards busetop
409,ham,messagesome text miss SenderName miss number miss SentDate miss miss U lot that s everything miss send via fullonsmscom
410,ham,come room point iron plan weekend
411,ham,cos want thing
412,ham,Okies Ill go yan jiu we skip ard oso go cine den go mrt one blah blah blah
413,ham,bring home Wendy D
414,spam,date service call boxskch
415,ham,Whatsup do not u want sleep
416,ham,alright new goal
417,spam,free entry å£ weekly competition text word WIN NOW TC wwwtxttowincouk
418,ham,Alright Ill head minute text meet
419,spam,send logo ur lover name join heart Txt love name name MOBNO eg LOVE ADAM EVE Yahoo poboxwwq TxtNO no ad p
420,ham,yesfrom last week I m take live call
421,spam,someone contact date service enter phone fancy to find call landline PoBoxntfp
422,ham,Siva hostel aha
423,spam,urgent your mobile number award å£ prize guarantee call land line Claim Valid hrs
424,ham,send ur friend receive something ur voice how speak expression childish naughty Sentiment rowdy ful attitude romantic shy attractive funny ltgt irritate ltgt lovable reply
425,ham,ok Shell ok I guess
426,ham,aathiwhere dear
427,ham,any pain urination thing else
428,ham,esplanade do ì mind give lift cos get no car today
429,ham,I wnt buy BMW car urgentlyit vry urgentbut hv shortage ltgt Lacsthere no source arng dis amt ltgt lacsthats prob
430,ham,at home watch tv lor
431,ham,do usually take fifteen fucking minute respond yes no question
432,spam,congrat Nokia video camera phone call Calls cost ppm Ave call min vary mobile close post BCM Ldn WCNXX
433,ham,book ticket pongal
434,ham,you available I m like right around hillsborough amp ltgt th
435,ham,the message send askin ltgt dollar Shoul pay ltgt ltgt
436,ham,ask g iouri I ve tell story like ten time already
437,ham,how long applebee fuck take
438,ham,hi hope u get txtjourney have not gdnow min late I think
439,ham,but I like love arrange
440,ham,Yeshe really greatbhaji tell kallis well cricketer sachin worldvery tough get
441,ham,you suppose wake ME gt
442,ham,Oic I see tot din c I find group liao
443,ham,Sorry Ill call later
444,ham,HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND HOWDY GORGEOUS
445,ham,sorry battery die I come I m get gram where s place
446,ham,well do blimey exercise yeah kinda remember wot hmm
447,ham,I will not get concentration dear know mind everything
448,ham,LOL have make plan new year
449,ham,min later k
450,ham,hank lotsly
451,ham,thank hope good day today
452,ham,kkwhat detail want transferacc no enough
453,ham,ok tell stay yeah tough optimistic thing improve month
454,spam,loan purpose å£ å£ Homeowners Tenants welcome have previously refuse we still help call free text back help
455,ham,si si I think ill go make oreo truffle
456,ham,look at AMY URE a beautiful intelligent woman and I like U a LOT I know u donåõt like I like that so donåõt WORRY
457,ham,I hope that s result consistently intelligent kind start ask practicum link keep ear open good ttyl
458,ham,call cost which guess be not bad Miss ya need ya want ya love ya
459,ham,go thru different feelingwavering decision cope individualtime heal everything believe
460,ham,where u go my phone go to die stay
461,ham,great never well each day give even reason thank God
462,spam,UpgrdCentre Orange customer may claim free CAMERA phone upgrade loyalty Call Offer end th July tc apply Optout available
463,ham,Sorry Ill call later ok bye
464,ham,ok way railway
465,ham,great princess I love give receive oral Doggy style fave position how I enjoy make love ltgt time per night
466,ham,they do not put stuff road keep get slippery
467,ham,when go ride bike
468,ham,yup no need Ill ju wait e rain stop
469,ham,there many company tell language
470,spam,okmail Dear Dave final notice collect Tenerife Holiday cash award Call landline tc SAE Box CWWX ppm
471,ham,how long since scream princess
472,ham,nothing I mean money enters account bank remove flat rate someone transfered ltgt account ltgt dollar got remove so bank differ charge also differbe sure trust ja person send account detail cos
473,spam,want get lay tonight want real dogging location send direct ur Mob Join uks large Dogging Network txte MOAN nyt eca pmsgp
474,ham,nice line say broken heart plz do not cum time infront other wise I trust U good t
475,ham,ok I m go to head usf like fifteen minute
476,ham,love aathilove u lot
477,ham,tension ahwhat machiany problem
478,ham,k I pick another th you re do
479,ham,when re guy get back G say think not stay mcr
480,ham,almost see u sec
481,ham,Yo carlos friend already ask work weekend
482,ham,watch tv lor
483,ham,thank baby I can not wait taste real thing
484,ham,you change fb jaykwon thuglyfe falconerf
485,ham,if win really no side long time
486,spam,free message Activate free Text Messages reply message word free for term condition visit wwwcom
487,ham,Dear reach railway what happen
488,ham,depend quality if want type send boye fade glory if want ralph maybe
489,ham,I think I ve fix send test message
490,ham,sorry man account dry I would want could trade back half I could buy shit credit card
491,spam,congrat year special cinema pass call C suprman v Matrix StarWars etc free bxipwe pm do not miss
492,ham,Sorryin meeting Ill call later
493,ham,what class ltgt reunion
494,ham,be free nowcan call
495,ham,Got meh when
496,ham,nope think go monday Sorry reply late
497,ham,some tell accenture not confirm be true
498,ham,Kate jackson rec center ish right
499,ham,dear reache room
500,ham,fight world easy u either win lose bt fightng some close u dificult u lose u lose u win u still lose
501,ham,when Ì come
502,ham,check nuerologist
503,ham,Lolnice I go fish water
504,spam,congratulation week competition draw u å£ prize claim call b TCsstop SMS over ppm
505,ham,no wait e car dat bored wat cos wait outside get nothing at home stuff watch tv wat
506,ham,maybe westshore hyde park village place near house
507,ham,you know so how s anthony be bring money I ve school fee pay rent stuff like that s need help a friend need
508,ham,what s significance
509,ham,your opinion over Jada Kusruthi Lovable Silent Spl character not mature Stylish Simple pls reply
510,ham,late gs still scrounge ammo want give new ak try
511,ham,Prabhaim sorydarealyfrm heart I m sory
512,ham,lol ok forgive
513,ham,nojst change tat
514,spam,you guarantee late Nokia Phone GB iPod MP player å£ prize Txt word COLLECT no IBHltd LdnWH pMtmsgrcvd
515,ham,Sno competition
516,spam,boltblue tone p Reply POLY mono eg poly cha cha Slide yeah Slow Jamz Toxic come with I stop tone txt MORE
517,spam,your credit top httpwwwbubbletextcom your renewal Pin tgxxrz
518,ham,that way transport less problematic sit night by way u want ask n join bday feel free but need know definite nos booking fri
519,ham,usually person unconscious that s child adult may behave abnormally Ill call
520,ham,but that s ebay might less elsewhere
521,ham,shall come get pickle
522,ham,be go to go get taco
523,ham,that s rude campus
524,spam,URGENT your Mobile No award å£ Bonus Caller Prize this nd attempt contact you call boxqu
525,ham,hi will not b ard christmas but enjoy n merry xmas
526,spam,today offer Claim ur å£ worth discount voucher Text yes SavaMob member offer mobile T Cs å£ Sub Unsub reply x
